1.239999,7.279786,1.321321,2.403957,0.226093,0.03757414,-0.9601057,0.1602097
1.259999,7.279099,1.321326,2.404398,0.2260908,0.03757378,-0.9601063,0.1602096
1.279999,7.278389,1.321331,2.404853,0.2260884,0.03757339,-0.9601069,0.1602095
1.299999,7.277656,1.321337,2.405323,0.2260858,0.03757297,-0.9601076,0.1602094
1.319999,7.276897,1.321342,2.405808,0.226083,0.03757252,-0.9601082,0.1602093
1.339999,7.276114,1.321347,2.406309,0.2260801,0.03757204,-0.960109,0.1602092
1.359999,7.275306,1.321353,2.406826,0.2260769,0.03757152,-0.9601098,0.1602091
1.379999,7.27447,1.321359,2.40736,0.2260734,0.03757096,-0.9601105,0.1602089
1.399999,7.273607,1.321365,2.40791,0.2260698,0.03757036,-0.9601115,0.1602088
1.419999,7.272717,1.321371,2.408478,0.2260658,0.03756972,-0.9601125,0.1602086
1.439999,7.271797,1.321377,2.409064,0.2260616,0.03756903,-0.9601135,0.1602085
1.459999,7.270848,1.321384,2.409668,0.2260571,0.03756829,-0.9601147,0.1602083
1.479999,7.269869,1.32139,2.410292,0.2260523,0.03756751,-0.9601158,0.1602081
1.499999,7.268859,1.321397,2.410934,0.2260471,0.03756666,-0.9601172,0.1602079
1.519999,7.267817,1.321404,2.411595,0.2260415,0.03756576,-0.9601185,0.1602077
1.539999,7.266742,1.321412,2.412277,0.2260356,0.03756479,-0.96012,0.1602075
1.559999,7.265634,1.321419,2.41298,0.2260292,0.03756376,-0.9601216,0.1602072
1.579999,7.264492,1.321427,2.413703,0.2260224,0.03756265,-0.9601232,0.160207
1.599999,7.263314,1.321435,2.414448,0.2260152,0.03756147,-0.960125,0.1602067
1.619999,7.262101,1.321443,2.415215,0.2260074,0.03756021,-0.960127,0.1602064
1.639999,7.26085,1.321451,2.416004,0.2259992,0.03755886,-0.960129,0.1602061
1.659999,7.259562,1.32146,2.416816,0.2259904,0.03755743,-0.9601312,0.1602058
1.679999,7.258235,1.321468,2.417652,0.225981,0.0375559,-0.9601336,0.1602054
1.699999,7.256868,1.321477,2.418511,0.2259709,0.03755426,-0.960136,0.160205
1.719999,7.255461,1.321486,2.419395,0.2259602,0.03755252,-0.9601387,0.1602046
1.739999,7.254012,1.321496,2.420304,0.2259488,0.03755067,-0.9601415,0.1602042
1.759999,7.252522,1.321505,2.421238,0.2259367,0.03754869,-0.9601445,0.1602037
1.779999,7.250987,1.321515,2.422198,0.2259238,0.03754659,-0.9601477,0.1602032
1.799999,7.249408,1.321525,2.423185,0.2259101,0.03754436,-0.9601511,0.1602027
1.819999,7.247783,1.321535,2.424198,0.2258954,0.03754197,-0.9601548,0.1602021
1.839999,7.246113,1.321546,2.425239,0.2258799,0.03753944,-0.9601586,0.1602015
1.859999,7.244394,1.321557,2.426308,0.2258634,0.03753676,-0.9601628,0.1602009
1.879999,7.242627,1.321568,2.427405,0.2258458,0.03753389,-0.9601671,0.1602002
1.899999,7.240812,1.321579,2.428531,0.2258272,0.03753086,-0.9601717,0.1601995
1.919999,7.238945,1.32159,2.429686,0.2258074,0.03752764,-0.9601766,0.1601987
1.939999,7.237027,1.321602,2.430872,0.2257864,0.03752422,-0.9601818,0.1601979
1.959999,7.235055,1.321614,2.432088,0.2257641,0.03752059,-0.9601874,0.1601971
1.979999,7.23303,1.321626,2.433334,0.2257405,0.03751674,-0.9601932,0.1601962
1.999999,7.230951,1.321638,2.434613,0.2257154,0.03751266,-0.9601994,0.1601952
2.019999,7.228815,1.321651,2.435923,0.2256889,0.03750833,-0.960206,0.1601942
2.039999,7.226623,1.321663,2.437265,0.2256607,0.03750376,-0.9602129,0.1601931
2.059999,7.224371,1.321676,2.438641,0.225631,0.0374989,-0.9602203,0.160192
2.079999,7.222061,1.32169,2.440049,0.2255994,0.03749377,-0.9602282,0.1601908
2.099999,7.21969,1.321703,2.441491,0.2255661,0.03748834,-0.9602364,0.1601895
2.119999,7.217257,1.321717,2.442968,0.2255308,0.03748259,-0.9602451,0.1601881
2.139999,7.214762,1.321731,2.444479,0.2254935,0.03747652,-0.9602544,0.1601867
2.159999,7.212203,1.321745,2.446026,0.225454,0.0374701,-0.9602641,0.1601852
2.179999,7.209579,1.321759,2.447609,0.2254124,0.03746331,-0.9602744,0.1601836
2.199999,7.206888,1.321774,2.449227,0.2253684,0.03745615,-0.9602853,0.1601819
2.219999,7.20413,1.321789,2.450881,0.2253219,0.03744859,-0.9602968,0.1601801
2.239999,7.201303,1.321803,2.452573,0.2252729,0.0374406,-0.960309,0.1601782
2.259999,7.198406,1.321819,2.454302,0.2252212,0.03743218,-0.9603217,0.1601762
2.279999,7.195438,1.321834,2.456069,0.2251666,0.0374233,-0.9603352,0.1601741
2.299999,7.192398,1.321849,2.457874,0.2251091,0.03741393,-0.9603494,0.1601719
2.319999,7.189284,1.321865,2.459716,0.2250486,0.03740407,-0.9603645,0.1601696
2.339998,7.186096,1.321881,2.461598,0.2249847,0.03739368,-0.9603802,0.1601672
2.359998,7.182832,1.321897,2.463519,0.2249175,0.03738273,-0.9603968,0.1601646
2.379998,7.179491,1.321913,2.465478,0.2248468,0.03737121,-0.9604142,0.1601618
2.399998,7.176072,1.321929,2.467479,0.2247723,0.03735909,-0.9604326,0.160159
2.419998,7.172572,1.321945,2.469518,0.224694,0.03734634,-0.9604519,0.160156
2.439998,7.168993,1.321961,2.471598,0.2246117,0.03733293,-0.9604722,0.1601528
2.459998,7.165332,1.321978,2.473718,0.2245252,0.03731884,-0.9604936,0.1601495
2.479998,7.161588,1.321994,2.475879,0.2244342,0.03730404,-0.960516,0.160146
2.499998,7.157759,1.322011,2.478081,0.2243387,0.03728848,-0.9605395,0.1601423
2.519998,7.153845,1.322027,2.480324,0.2242385,0.03727216,-0.9605642,0.1601384
2.539998,7.149844,1.322044,2.482608,0.2241332,0.03725502,-0.9605901,0.1601343
2.559998,7.145755,1.322061,2.484933,0.2240228,0.03723704,-0.9606172,0.1601301
2.579998,7.141578,1.322077,2.4873,0.2239071,0.03721819,-0.9606457,0.1601256
2.599998,7.13731,1.322094,2.489708,0.2237857,0.03719843,-0.9606755,0.1601209
2.619998,7.132952,1.32211,2.492158,0.2236585,0.03717772,-0.9607068,0.160116
2.639998,7.1285,1.322127,2.494649,0.2235252,0.03715602,-0.9607396,0.1601108
2.659998,7.123956,1.322143,2.497182,0.2233857,0.0371333,-0.9607738,0.1601054
2.679998,7.119316,1.32216,2.499756,0.2232396,0.03710951,-0.9608096,0.1600998
2.699998,7.114581,1.322176,2.502373,0.2230868,0.03708462,-0.960847,0.1600939
2.719998,7.109749,1.322192,2.50503,0.2229269,0.03705859,-0.9608862,0.1600877
2.739998,7.104819,1.322208,2.507729,0.2227597,0.03703136,-0.9609271,0.1600812
2.759998,7.099791,1.322223,2.510469,0.222585,0.03700291,-0.9609697,0.1600744
2.779998,7.094661,1.322239,2.51325,0.2224024,0.03697318,-0.9610144,0.1600673
2.799998,7.089432,1.322254,2.516071,0.2222117,0.03694212,-0.9610609,0.1600599
2.819998,7.084099,1.322269,2.518934,0.2220126,0.0369097,-0.9611095,0.1600521
2.839998,7.078665,1.322284,2.521836,0.2218047,0.03687586,-0.9611601,0.160044
2.859998,7.073125,1.322298,2.524779,0.2215879,0.03684055,-0.9612129,0.1600356
2.879998,7.067482,1.322312,2.527761,0.2213618,0.03680373,-0.9612679,0.1600267
2.899998,7.061732,1.322326,2.530782,0.221126,0.03676534,-0.9613251,0.1600175
2.919998,7.055875,1.322339,2.533842,0.2208804,0.03672533,-0.9613847,0.1600079
2.939998,7.049911,1.322351,2.536941,0.2206244,0.03668366,-0.9614468,0.1599979
2.959998,7.043838,1.322364,2.540077,0.2203579,0.03664026,-0.9615113,0.1599874
